JENIS KELAMIN,KOTA LAHIR,AGAMA,KECAMATAN,ANGKATAN,TAHUN RAPORT 3,BIDANG STUDI KEAHLIAN,PROGRAM STUDI KEAHLIAN,KOMPETENSI KEAHLIAN,ASAL SEKOLAH
1,18,4,16,2,2,1,1,1,113
1,18,4,10,2,2,1,1,1,113
1,18,4,10,2,2,1,1,1,122
2,60,4,16,2,2,1,1,1,106
1,18,1,10,2,2,1,1,1,30
1,18,4,10,2,2,1,1,1,113
2,18,4,10,2,2,1,1,1,99
1,18,2,10,2,2,1,1,1,113
2,18,4,10,2,2,1,1,1,113
2,18,4,7,2,2,1,1,1,111
2,18,4,16,2,2,1,1,1,102
2,18,4,7,2,2,1,1,1,41
1,18,4,10,2,2,1,1,1,51
2,18,4,10,2,2,1,1,1,51
2,60,4,7,2,2,1,1,1,112
2,46,2,10,2,2,1,1,1,93
1,18,4,11,2,2,1,1,1,113
2,18,2,10,2,2,1,1,1,113
1,18,1,10,2,2,1,1,1,22
2,60,4,7,2,2,1,1,1,30
1,18,4,10,2,2,1,1,1,113
1,18,2,16,2,2,1,1,1,113
1,43,1,16,2,2,1,1,1,56
2,55,4,10,2,2,1,1,1,99
1,18,4,16,2,2,1,1,1,113
1,18,2,10,2,2,1,1,1,113
1,60,1,14,1,2,1,1,1,122
1,60,2,7,2,2,1,1,1,104
1,18,4,16,2,2,1,1,1,113
1,18,4,10,2,2,1,1,1,55
2,18,2,10,2,2,1,1,1,121
2,18,4,16,2,2,1,1,1,113
1,18,4,10,2,2,1,1,1,45
1,18,4,10,2,2,1,1,1,119
1,18,1,10,2,2,1,1,1,113
1,18,2,16,2,2,1,1,1,120
1,18,2,10,2,2,1,1,1,120
1,18,4,10,2,2,1,1,1,51
1,18,1,6,2,2,1,1,1,113
2,18,2,16,2,2,1,1,1,51
1,18,2,10,2,2,1,1,1,40
2,18,4,16,2,2,1,1,1,41
1,7,4,10,2,2,1,1,1,113
2,60,4,10,2,2,1,1,1,113
1,18,4,16,2,2,1,1,1,113
1,18,2,10,2,2,1,1,1,67
1,18,4,10,2,2,1,1,1,60
2,60,4,7,2,2,1,1,1,113
1,18,4,10,2,2,1,1,1,113
2,18,4,16,2,2,1,1,1,113
2,18,4,10,2,2,1,1,1,41
2,18,2,16,2,2,1,1,1,113
1,60,4,10,2,2,1,1,1,113
2,41,4,10,2,2,1,1,1,65
2,18,2,16,2,2,1,1,1,113
1,18,1,10,2,2,1,1,1,113
1,18,4,10,2,2,1,1,1,48
2,18,4,10,2,2,1,1,1,51
1,18,4,10,2,2,1,1,1,113
1,60,4,1,2,2,1,1,1,113
2,60,2,10,2,2,1,1,1,113
2,18,1,16,2,2,1,1,1,68
2,35,4,10,2,2,1,1,1,79
2,60,4,10,2,2,1,1,1,36
1,18,2,10,2,2,1,1,1,113
1,18,1,16,2,2,1,1,1,113
1,18,1,10,2,2,1,1,1,113
2,35,4,10,2,2,1,1,1,76
1,18,4,10,2,2,1,1,1,79
2,60,4,10,2,2,1,1,1,43
2,60,2,10,2,2,1,1,1,75
1,18,1,16,2,2,1,1,1,51
2,18,2,7,2,2,1,1,1,113
1,59,2,10,2,2,1,1,1,113
1,18,1,10,2,2,1,1,1,99
2,18,1,11,2,2,1,1,1,80
1,18,1,6,2,2,1,1,1,54
2,18,1,10,2,2,1,1,1,15
1,18,2,10,2,2,1,1,1,113
1,18,2,16,2,2,1,1,1,113
1,18,2,10,2,2,1,1,1,71
1,18,1,10,2,2,1,1,1,84
1,18,2,10,2,2,1,1,1,1
1,18,1,16,2,2,1,1,1,82
2,18,2,10,2,2,1,1,1,99
1,18,2,16,2,2,1,1,1,67
2,18,2,10,2,2,1,1,1,113
1,18,1,10,2,2,1,1,1,51
1,18,1,8,2,2,1,1,1,69
1,18,1,10,2,2,1,1,1,69
2,18,1,16,2,2,1,1,1,113
1,18,1,10,2,2,1,1,1,106
1,18,2,7,2,2,1,1,1,113
1,14,1,7,2,2,1,1,1,75
1,18,1,10,2,2,1,1,1,71
2,18,1,10,2,2,1,1,1,71
1,18,1,16,2,2,1,1,1,51
1,72,1,6,2,2,1,1,1,1
1,18,2,10,2,2,1,1,1,112
1,18,1,16,2,2,1,1,1,83
2,18,2,10,2,2,1,1,1,79
1,18,2,6,2,2,1,1,1,41
1,60,2,7,2,2,1,1,1,113
1,46,2,16,2,2,1,1,1,72
1,18,2,10,2,2,1,1,1,100
1,18,2,16,2,2,1,1,1,69
2,18,1,10,2,2,1,1,1,113
1,18,1,10,2,2,1,1,1,69
1,60,2,7,2,2,1,1,1,60
1,43,1,10,2,2,1,1,1,36
1,18,1,16,2,2,1,1,1,51
1,60,2,7,2,2,1,1,1,113
2,18,2,7,2,2,1,1,1,59
1,18,1,16,2,2,1,1,1,75
2,18,1,16,2,2,1,1,1,39
1,6,2,10,2,2,1,1,1,54
2,18,1,10,2,2,1,1,1,54
2,18,2,10,2,2,1,1,1,35
2,18,2,10,2,2,1,1,1,81
1,18,2,16,2,2,1,1,1,54
2,18,1,10,2,2,1,1,1,60
2,18,2,10,2,2,1,1,1,51
1,18,1,10,2,2,1,1,1,80
1,18,1,10,2,2,1,1,1,80
1,18,1,16,2,2,1,1,1,113
2,18,1,10,2,2,1,1,1,113
1,18,1,10,2,2,1,1,1,15
1,16,1,16,2,2,1,1,1,113
1,18,1,10,2,2,1,1,1,113
1,18,2,10,2,2,1,1,1,67
1,20,1,10,2,2,1,1,1,113
2,18,2,16,2,2,1,1,1,52
2,18,2,10,2,2,1,1,1,117
1,39,1,16,2,2,1,1,1,3
1,18,1,10,2,2,1,2,2,70
2,18,1,10,2,2,1,2,2,75
1,18,1,10,2,2,1,2,2,71
2,60,1,10,2,2,1,2,2,71
1,18,1,10,2,2,1,2,2,80
2,18,1,16,2,2,1,2,2,38
2,18,1,10,2,2,1,2,2,51
1,60,1,6,2,2,1,2,2,71
1,18,1,10,2,2,1,2,2,3
1,18,1,6,2,2,1,2,2,106
1,18,1,16,2,2,1,2,2,113
1,2,1,16,2,2,1,2,2,4
2,18,1,10,2,2,1,2,2,75
1,18,1,10,2,2,1,2,2,113
2,18,1,10,2,2,1,2,2,79
1,18,2,10,2,2,1,2,2,75
1,64,1,16,2,2,1,2,2,99
1,18,2,10,2,2,1,2,2,38
2,18,1,16,2,2,1,2,2,80
1,18,1,10,2,2,1,2,2,82
1,18,1,10,2,2,1,2,2,15
1,60,2,10,2,2,1,2,2,75
1,71,1,16,2,2,1,2,2,72
2,18,2,10,2,2,1,2,2,72
1,25,1,16,2,2,1,2,2,72
1,18,1,10,2,2,1,2,2,82
1,18,1,16,2,2,1,2,2,82
1,18,1,16,2,2,1,2,2,115
1,18,1,16,2,2,1,2,2,113
1,18,1,10,2,2,1,2,2,9
1,50,2,16,2,2,1,2,2,82
2,18,1,10,2,2,1,2,2,115
1,18,1,16,2,2,1,2,2,76
1,18,1,10,2,2,1,2,2,71
2,18,1,16,2,2,1,2,2,79
1,18,1,10,2,2,1,2,2,113
2,60,1,14,2,2,1,2,2,56
1,29,1,16,2,2,1,2,2,66
1,48,1,16,2,2,1,2,2,72
1,18,1,16,2,2,1,2,2,82
1,47,1,10,2,2,1,2,2,113
1,18,1,10,2,2,1,2,2,80
1,18,2,10,2,2,1,2,2,9
2,18,1,16,2,2,1,2,2,113
1,18,1,10,2,2,1,2,2,106
1,18,1,10,2,2,1,2,2,82
1,18,1,10,2,2,1,2,2,44
1,18,2,10,2,2,1,2,2,39
2,60,2,14,2,2,1,2,2,2
2,18,1,10,2,2,1,2,2,7
1,60,1,16,2,2,1,2,2,5
1,18,1,16,2,2,1,2,2,113
1,18,1,10,2,2,1,2,2,76
1,18,3,10,2,2,1,2,2,76
1,18,1,16,2,2,1,2,2,82
1,18,1,10,2,2,1,2,2,82
1,32,1,10,2,2,1,2,2,99
2,60,1,6,2,2,1,2,2,72
1,18,1,10,2,2,1,2,2,38
1,18,1,16,2,2,1,2,2,82
1,18,1,6,2,2,1,2,2,75
2,18,1,16,2,2,1,2,2,71
1,52,1,16,1,2,1,2,2,74
1,11,1,10,2,2,1,2,2,71
1,18,1,16,2,2,1,2,2,15
1,18,2,16,2,2,1,2,2,9
1,18,1,7,2,2,1,2,2,71
1,58,1,6,2,2,1,2,2,75
1,18,1,10,2,2,1,2,2,106
2,18,1,10,2,2,1,2,2,73
1,66,1,16,2,2,1,2,2,51
1,18,1,16,2,2,1,2,2,57
2,18,1,10,2,2,1,2,2,15
2,18,1,16,2,2,1,2,2,51
1,21,1,16,2,2,1,2,2,75
1,18,2,16,1,2,1,2,2,1
1,18,1,10,2,2,1,2,2,36
1,18,1,10,2,2,1,2,2,69
2,18,1,10,2,2,1,2,2,50
2,18,4,10,2,2,1,2,2,53
2,18,1,16,2,2,1,2,2,80
1,18,1,10,2,2,1,2,2,71
1,18,1,10,2,2,1,2,2,1
1,18,4,10,2,2,1,2,2,79
2,18,1,16,2,2,1,2,2,115
2,18,1,10,2,2,1,2,2,33
1,21,1,10,2,2,1,2,2,9
1,18,1,16,2,2,1,2,2,36
1,18,1,10,2,2,1,2,2,115
2,18,1,16,2,2,1,2,2,58
1,18,2,16,2,2,1,2,2,44
2,18,4,16,2,2,1,2,2,44
1,18,1,10,2,2,1,2,2,71
1,18,1,10,2,2,1,2,2,35
1,18,1,16,2,2,1,2,2,38
1,35,2,14,2,2,1,2,2,13
1,18,4,10,2,2,1,2,2,82
1,18,1,10,2,2,1,2,2,46
1,18,1,16,2,2,1,2,2,73
1,18,1,10,2,2,1,2,2,15
2,18,4,10,2,2,1,2,2,82
1,60,1,16,2,2,1,2,2,32
1,18,2,16,2,2,1,2,2,75
1,18,2,10,2,2,1,2,2,115
1,18,1,16,2,2,2,3,3,65
1,19,1,16,1,1,2,3,3,113
1,3,2,16,2,2,2,3,3,82
2,18,2,7,2,2,2,3,3,39
2,18,1,16,2,2,2,3,3,47
2,18,1,16,2,2,2,3,3,113
1,18,1,10,2,2,2,3,3,37
2,18,2,16,2,2,2,3,3,15
1,60,2,7,2,2,2,3,3,10
2,18,2,10,2,2,2,3,3,82
1,18,1,16,2,2,2,3,3,72
1,18,2,10,2,2,2,3,3,64
1,18,3,16,2,2,2,3,3,71
1,18,1,7,2,2,2,3,3,6
1,9,4,10,2,2,2,3,3,73
1,18,1,16,2,2,2,3,3,71
1,18,2,16,2,2,2,3,3,29
1,18,1,10,2,2,2,3,3,69
1,18,1,16,2,2,2,3,3,36
1,18,1,10,2,2,2,3,3,36
2,18,2,10,2,2,2,3,3,51
1,18,1,10,2,2,2,3,3,77
1,18,1,10,2,2,2,3,3,104
1,18,1,16,2,2,2,3,3,14
2,18,2,7,2,2,2,3,3,79
1,18,1,10,3,3,1,1,1,22
1,70,1,10,3,3,1,1,1,79
1,43,2,16,3,3,1,1,1,113
1,18,1,16,3,3,1,1,1,116
1,38,1,16,3,3,1,1,1,89
1,18,4,7,3,3,1,1,1,113
2,18,4,10,3,3,1,1,1,113
2,35,4,10,3,3,1,1,1,113
1,18,1,16,3,3,1,1,1,113
2,18,1,10,3,3,1,1,1,102
1,18,1,10,3,3,1,1,1,88
2,18,2,10,3,3,1,1,1,113
1,62,4,10,3,3,1,1,1,113
1,18,1,16,3,3,1,1,1,90
2,18,1,10,3,3,1,1,1,117
1,35,4,7,3,3,1,1,1,113
2,18,1,16,3,3,1,1,1,98
1,60,2,16,3,3,1,1,1,113
1,39,1,10,3,3,1,1,1,82
1,18,1,10,3,3,1,1,1,88
1,18,4,10,3,3,1,1,1,113
1,18,2,10,3,3,1,1,1,90
1,18,4,10,3,3,1,1,1,79
1,18,1,10,3,3,1,1,1,93
1,18,2,10,3,3,1,1,1,113
2,18,1,10,3,3,1,1,1,88
1,18,2,10,3,3,1,1,1,113
1,18,4,0,3,3,1,1,1,113
2,18,3,0,3,3,1,1,1,113
2,18,3,0,3,3,1,1,1,113
0,18,1,16,3,3,1,1,1,77
2,18,4,16,3,3,1,1,1,113
1,18,1,10,3,3,1,1,1,94
1,18,4,16,3,3,1,1,1,117
2,18,4,10,3,3,1,1,1,23
1,11,1,16,3,3,1,1,1,80
1,18,2,10,3,3,1,1,1,113
1,18,1,10,3,3,1,1,1,77
1,8,1,16,3,3,1,1,1,93
1,18,1,10,3,3,1,1,1,93
1,18,4,7,3,3,1,1,1,12
1,49,1,16,3,3,1,1,1,113
1,18,2,10,3,3,1,1,1,106
1,18,1,6,3,3,1,1,1,42
2,18,1,7,3,3,1,1,1,20
1,18,1,10,3,3,1,1,1,113
1,48,1,10,3,3,1,1,1,22
2,18,1,10,3,3,1,1,1,113
2,18,2,10,3,3,1,1,1,93
1,60,4,10,3,3,1,1,1,8
2,18,4,10,3,3,1,1,1,93
1,18,1,10,3,3,1,1,1,113
2,18,2,10,3,3,1,1,1,52
2,18,2,10,3,3,1,1,1,113
1,18,4,10,3,3,1,1,1,22
1,18,1,10,3,3,1,1,1,113
1,18,2,10,3,3,1,1,1,113
2,18,3,10,3,3,1,1,1,113
1,18,2,10,3,3,1,1,1,93
2,18,2,10,3,3,1,1,1,113
2,18,3,10,3,3,1,1,1,102
2,60,2,16,3,3,1,1,1,113
1,18,1,10,3,3,1,1,1,93
2,18,3,10,3,3,1,1,1,113
1,18,4,10,3,3,1,1,1,113
1,60,2,16,3,3,1,1,1,85
1,18,2,10,3,3,1,1,1,113
1,18,4,10,3,3,1,1,1,78
1,18,2,10,3,3,1,1,1,113
1,18,1,10,3,3,1,1,1,102
2,18,1,10,3,3,1,1,1,113
1,18,2,5,3,3,1,1,1,25
2,18,2,16,3,3,1,1,1,113
1,18,1,16,3,3,1,1,1,79
1,18,2,10,3,3,1,1,1,24
1,18,1,10,3,3,1,1,1,113
1,18,2,10,3,3,1,1,1,56
1,18,2,10,3,3,1,1,1,80
2,18,2,10,3,3,1,1,1,0
1,18,1,16,3,3,1,1,1,113
1,60,2,10,3,3,1,1,1,93
1,18,2,10,3,3,1,1,1,99
2,18,2,10,3,3,1,1,1,113
2,18,2,2,3,3,1,1,1,113
1,60,1,10,3,3,1,1,1,110
1,18,1,6,3,3,1,1,1,102
1,18,2,10,3,3,1,1,1,113
1,18,1,10,3,3,1,1,1,113
1,18,2,16,3,3,1,1,1,113
1,18,2,10,3,3,1,1,1,52
2,18,1,16,3,3,1,1,1,88
2,18,2,10,3,3,1,1,1,113
1,18,1,10,3,3,1,1,1,113
1,18,1,10,3,3,1,1,1,26
1,18,1,10,3,3,1,1,1,113
1,18,2,10,3,3,1,1,1,113
1,18,1,10,3,3,1,1,1,113
2,18,2,16,3,3,1,1,1,93
1,50,2,10,3,3,1,1,1,113
1,18,1,10,3,3,1,1,1,96
2,18,2,10,3,3,1,1,1,113
1,12,1,16,3,3,1,1,1,99
2,18,1,10,3,3,1,1,1,113
1,18,2,10,3,3,1,1,1,113
2,18,1,10,3,3,1,2,2,22
1,18,1,10,3,3,1,2,2,113
1,18,1,10,3,3,1,2,2,98
1,18,1,16,3,3,1,2,2,99
1,18,3,10,3,3,1,2,2,49
1,18,1,10,3,3,1,2,2,106
1,18,2,10,3,3,1,2,2,113
1,18,1,16,3,3,1,2,2,16
1,18,1,10,3,3,1,2,2,34
1,18,1,10,3,3,1,2,2,80
1,18,1,6,3,3,1,2,2,38
1,51,2,16,3,3,1,2,2,113
1,18,2,10,3,3,1,2,2,22
1,16,1,10,3,3,1,2,2,113
1,18,1,10,3,3,1,2,2,38
2,18,1,16,3,3,1,2,2,34
1,18,1,10,3,3,1,2,2,88
1,18,1,10,3,3,1,2,2,88
2,18,2,16,3,3,1,2,2,95
1,18,1,16,3,3,1,2,2,51
1,18,2,10,3,3,1,2,2,93
2,18,1,10,3,3,1,2,2,79
1,18,2,10,3,3,1,2,2,80
1,18,5,6,3,3,1,2,2,93
1,18,1,16,3,3,1,2,2,82
2,18,1,16,3,3,1,2,2,113
2,18,2,16,3,3,1,2,2,56
1,18,1,16,3,3,1,2,2,100
1,18,1,10,3,3,1,2,2,19
1,18,1,10,3,3,1,2,2,104
1,18,1,10,3,3,1,2,2,34
1,18,1,10,3,3,1,2,2,20
1,67,1,16,3,3,1,2,2,22
1,18,1,10,3,3,1,2,2,65
1,18,1,10,3,3,1,2,2,56
1,18,1,16,3,3,1,2,2,113
1,18,1,10,3,3,1,2,2,88
1,31,1,10,3,3,1,2,2,22
1,34,1,16,3,3,1,2,2,99
1,60,1,7,3,3,1,2,2,82
1,18,1,10,3,3,1,2,2,56
1,0,1,0,0,0,1,2,2,56
1,18,3,10,3,3,1,2,2,21
2,60,1,7,3,3,1,2,2,38
1,18,1,10,3,3,1,2,2,104
1,18,1,10,3,3,1,2,2,82
1,18,1,10,3,3,1,2,2,87
1,18,1,16,3,3,1,2,2,109
1,18,1,16,3,3,1,2,2,34
2,18,4,10,3,3,1,2,2,88
1,18,1,10,3,3,1,2,2,52
1,18,1,16,3,3,1,2,2,16
1,18,1,10,3,3,1,2,2,63
1,18,1,10,3,3,1,2,2,51
2,18,2,10,3,3,1,2,2,32
2,18,2,10,3,3,1,2,2,20
1,18,2,10,3,3,1,2,2,113
1,26,1,16,3,3,1,2,2,38
1,18,1,10,3,3,1,2,2,93
1,18,1,10,3,3,1,2,2,88
1,18,1,6,3,3,1,2,2,53
1,18,1,10,3,3,1,2,2,113
1,56,1,10,3,3,1,2,2,113
1,18,1,10,3,3,1,2,2,113
1,18,3,10,3,3,1,2,2,65
1,18,1,10,3,3,1,2,2,98
2,18,4,16,3,3,1,2,2,82
1,18,1,10,3,3,1,2,2,34
1,18,1,10,3,3,1,2,2,22
1,18,1,10,3,3,1,2,2,22
1,18,1,10,3,3,1,2,2,18
1,18,2,10,3,3,1,2,2,93
1,18,1,10,3,3,1,2,2,106
1,34,1,10,3,3,1,2,2,38
1,18,1,16,3,3,1,2,2,87
1,18,1,10,3,3,1,2,2,88
1,18,2,16,3,3,1,2,2,38
1,18,1,16,3,3,1,2,2,87
1,60,2,10,3,3,1,2,2,117
1,18,2,10,3,3,1,2,2,113
1,18,1,10,3,3,1,2,2,11
1,18,1,10,3,3,1,2,2,113
1,66,1,10,3,3,1,2,2,38
1,18,1,10,3,3,1,2,2,118
1,18,1,16,3,3,1,2,2,51
2,18,2,10,3,3,1,2,2,102
1,48,1,10,3,3,1,2,2,77
2,17,1,16,3,3,1,2,2,42
1,18,1,10,3,3,1,2,2,106
1,4,1,10,3,3,1,2,2,22
1,18,1,10,3,3,1,2,2,22
1,4,1,10,3,3,1,2,2,88
1,18,1,10,3,3,1,2,2,113
1,18,1,16,3,3,1,2,2,62
1,18,1,10,3,3,1,2,2,113
1,18,1,16,3,3,1,2,2,17
1,18,1,10,3,3,1,2,2,50
1,18,1,10,3,3,1,2,2,34
1,18,1,16,3,3,1,2,2,82
1,3,1,10,3,3,1,2,2,88
2,18,1,10,3,3,1,2,2,34
1,30,1,16,3,3,1,2,2,22
1,18,1,16,3,3,1,2,2,38
1,18,1,16,3,3,1,2,2,39
2,18,2,10,3,3,1,2,2,87
2,18,1,16,3,3,1,2,2,99
2,35,2,9,3,3,1,2,2,16
1,18,1,10,3,3,1,2,2,53
2,18,2,6,3,3,2,3,3,117
1,60,2,16,3,3,2,3,3,38
1,58,1,15,3,3,2,3,3,50
1,18,1,16,3,3,2,3,3,38
1,18,2,16,3,3,2,3,3,38
2,18,2,10,3,3,2,3,3,39
1,18,2,10,3,3,2,3,3,113
2,18,2,10,3,3,2,3,3,80
1,18,1,10,3,3,2,3,3,114
2,23,2,16,3,3,2,3,3,99
1,18,2,10,3,3,2,3,3,105
1,18,2,10,3,3,2,3,3,108
1,18,4,16,3,3,2,3,3,96
1,18,4,11,3,3,2,3,3,77
1,55,4,16,3,3,2,3,3,106
1,18,1,10,3,3,2,3,3,92
2,18,4,10,3,3,2,3,3,16
1,18,1,10,3,3,2,3,3,113
1,49,1,3,3,3,2,3,3,113
2,18,1,10,1,1,1,1,1,123
1,18,1,16,1,1,1,1,1,17
2,18,3,10,1,1,1,1,1,86
2,18,2,10,1,1,1,1,1,61
1,18,2,10,1,1,1,1,1,113
2,18,2,16,1,1,1,1,1,101
1,18,2,10,1,1,1,1,1,25
1,18,2,7,1,1,1,1,1,80
2,54,1,7,1,1,1,1,1,16
1,18,1,1,1,1,1,1,1,124
2,18,1,16,1,1,1,1,1,16
1,18,2,10,1,1,1,1,1,77
1,18,3,10,1,1,1,1,1,27
2,18,2,10,1,1,1,1,1,28
